Month,Index,PE,Yield
1/4/75,100.00,5.48,9.28
1/5/75,89.98,5.23,9.72
1/6/75,91.64,5.61,8.64
1/7/75,98.02,6.14,7.91
1/8/75,98.39,6.16,8.42
1/9/75,92.10,6.05,8.57
1/10/75,91.10,5.99,8.65
1/11/75,89.07,6.21,8.78
1/12/75,84.07,4.98,10.16
1/1/76,82.55,4.65,7.51
1/2/76,80.90,4.80,7.66
1/3/76,77.57,4.77,7.63
1/4/76,80.70,4.65,7.78
1/5/76,78.12,4.65,7.92
1/6/76,77.63,5.43,7.69
1/7/76,78.38,5.80,8.32
1/8/76,79.92,5.91,7.53
1/9/76,79.65,5.53,7.44
1/10/76,80.08,5.72,7.38
1/11/76,80.66,5.78,7.34
1/12/76,82.69,5.83,7.28
1/1/77,87.55,6.07,7.05
1/2/77,89.95,6.09,6.95
1/3/77,97.68,6.66,6.63
1/4/77,101.24,6.59,6.51
1/5/77,104.15,6.78,6.47
1/6/77,113.47,6.99,6.08
1/7/77,127.80,7.84,5.29
1/8/77,150.07,8.49,5.01
1/9/77,149.93,8.91,4.78
1/10/77,192.62,11.13,3.97
1/11/77,182.45,11.45,3.83
1/12/77,181.58,11.34,3.93
1/1/78,201.01,13.47,3.39
1/2/78,202.05,13.16,3.48
1/3/78,188.61,12.31,3.85
1/4/78,182.38,9.62,4.09
1/5/78,187.91,9.96,4.01
1/6/78,189.99,9.62,4.29
1/7/78,184.75,9.24,4.56
1/8/78,194.18,9.11,4.60
1/9/78,206.93,10.82,4.20
1/10/78,242.85,11.54,3.93
1/11/78,239.80,9.61,4.83
1/12/78,257.73,8.46,5.74
1/1/79,239.81,7.70,5.86
1/2/79,229.43,7.24,6.29
1/3/79,218.09,7.08,6.90
1/4/79,175.88,6.41,7.90
1/5/79,183.72,6.44,7.89
1/6/79,175.58,6.32,8.07
1/7/79,175.09,6.32,8.12
1/8/79,170.91,6.22,8.41
1/9/79,169.32,6.55,8.39
1/10/79,158.47,6.28,8.82
1/11/79,152.45,5.88,9.15
1/12/79,149.40,5.84,9.18
1/1/80,136.84,5.56,8.93
1/2/80,137.91,5.82,8.98
1/3/80,138.25,6.07,8.54
1/4/80,129.63,6.16,8.36
1/5/80,124.11,6.00,8.68
1/6/80,127.81,6.01,8.71
1/7/80,126.61,5.99,9.41
1/8/80,120.36,6.08,9.22
1/9/80,118.87,6.03,9.18
1/10/80,119.04,6.12,9.14
1/11/80,127.88,6.52,9.08
1/12/80,124.67,6.40,9.42
1/1/81,126.88,6.49,9.44
1/2/81,127.05,6.83,9.36
1/3/81,124.31,7.20,9.80
1/4/81,121.62,7.67,9.33
1/5/81,116.99,7.54,9.57
1/6/81,112.41,7.78,9.21
1/7/81,111.61,7.65,9.38
1/8/81,104.68,8.54,9.26
1/9/81,105.12,8.62,9.78
1/10/81,105.04,8.40,9.67
1/11/81,108.35,9.42,9.76
1/12/81,106.62,9.52,9.57
1/1/82,106.77,9.19,9.56
1/2/82,106.16,8.89,9.80
1/3/82,102.98,9.11,9.59
1/4/82,104.89,9.30,9.02
1/5/82,105.83,9.82,9.04
1/6/82,106.61,11.04,8.99
1/7/82,108.16,10.55,9.32
1/8/82,124.09,11.60,8.69
1/9/82,126.24,12.06,8.54
1/10/82,127.49,12.22,8.63
1/11/82,120.84,11.47,8.86
1/12/82,123.50,11.83,8.53
1/1/83,125.80,12.72,8.36
1/2/83,125.03,11.42,8.32
1/3/83,131.33,12.99,8.02
1/4/83,137.27,13.31,7.92
1/5/83,138.04,11.49,7.45
1/6/83,139.88,10.90,7.35
1/7/83,148.36,11.51,6.90
1/8/83,144.73,10.13,6.82
1/9/83,142.04,9.88,6.85
1/10/83,138.60,9.06,6.98
1/11/83,136.31,8.61,6.78
1/12/83,134.47,6.54,6.97
1/1/84,133.77,6.57,6.91
1/2/84,131.40,6.48,7.24
1/3/84,130.09,7.21,7.66
1/4/84,132.73,6.85,7.80
1/5/84,131.64,7.10,7.62
1/6/84,133.14,5.95,7.81
1/7/84,132.24,5.94,7.81
1/8/84,132.89,6.34,7.65
1/9/84,132.89,6.37,7.85
1/10/84,135.84,5.94,7.74
1/11/84,143.22,7.75,7.76
1/12/84,142.29,7.19,9.07
1/1/85,139.65,6.96,9.22
1/2/85,139.47,7.15,9.02
1/3/85,145.11,7.65,9.20
1/4/85,151.14,8.53,8.04
1/5/85,155.02,8.99,7.52
1/6/85,155.19,8.70,7.79
1/7/85,158.08,8.47,7.70
1/8/85,150.71,8.46,7.65
1/9/85,146.74,8.71,7.94
1/10/85,146.11,8.75,8.09
1/11/85,142.11,9.32,8.00
1/12/85,134.95,9.59,8.15
1/1/86,139.02,9.85,8.25
1/2/86,136.50,10.07,8.18
1/3/86,129.85,9.56,7.63
1/4/86,129.54,9.13,7.05
1/5/86,129.08,9.75,7.05
1/6/86,131.51,9.95,6.94
1/7/86,141.51,10.23,6.61
1/8/86,149.84,11.07,5.89
1/9/86,162.37,12.06,5.28
1/10/86,183.77,13.00,4.95
1/11/86,186.46,11.77,4.50
1/12/86,207.20,12.34,4.30
1/1/87,209.92,13.19,3.99
1/2/87,208.79,12.16,4.25
1/3/87,228.97,12.69,4.38
1/4/87,250.19,13.27,3.98
1/5/87,269.07,12.78,3.71
1/6/87,299.87,14.07,3.25
1/7/87,313.96,14.56,3.09
1/8/87,353.15,14.99,2.93
1/9/87,428.19,17.12,2.65
1/10/87,299.83,12.43,3.54
1/11/87,290.42,10.17,3.86
1/12/87,284.94,9.31,3.86
1/1/88,318.87,10.60,3.78
1/2/88,374.83,12.21,3.37
1/3/88,388.90,12.92,3.44
1/4/88,413.91,13.27,3.40
1/5/88,424.93,13.50,3.20
1/6/88,452.70,14.89,3.00
1/7/88,457.01,14.97,3.09
1/8/88,436.55,13.60,3.30
1/9/88,444.61,14.02,3.28
1/10/88,418.74,13.19,3.35
1/11/88,392.86,12.35,3.59
1/12/88,386.73,12.03,3.84
1/1/89,433.68,13.51,3.36
1/2/89,435.78,14.29,3.29
1/3/89,440.88,14.78,3.37
1/4/89,500.21,16.76,3.04
1/5/89,552.54,16.82,2.81
1/6/89,606.21,19.92,2.41
1/7/89,624.13,21.08,2.26
1/8/89,681.92,23.18,2.12
1/9/89,689.51,23.39,2.21
1/10/89,695.01,21.74,2.36
1/11/89,769.83,21.57,2.56
1/12/89,879.19,26.39,2.07
1/1/90,853.72,26.55,2.06
1/2/90,813.67,24.50,2.18
1/3/90,851.53,24.32,2.11
1/4/90,855.97,25.01,2.09
1/5/90,1000.71,29.10,1.79
1/6/90,1060.22,28.81,1.75
1/7/90,1115.73,28.14,1.78
1/8/90,862.75,19.99,2.36
1/9/90,641.56,15.58,3.22
1/10/90,649.37,15.07,3.28
1/11/90,544.30,13.71,3.65
1/12/90,612.86,13.81,3.63
1/1/91,658.47,14.46,3.51
1/2/91,769.13,16.78,3.06
1/3/91,865.74,19.48,2.50
1/4/91,876.01,19.08,2.53
1/5/91,808.19,17.45,2.70
1/6/91,765.21,16.47,2.88
1/7/91,728.70,14.50,3.27
1/8/91,705.65,14.18,3.47
1/9/91,670.79,13.68,3.85
1/10/91,638.84,13.44,4.34
1/11/91,671.07,14.81,3.69
1/12/91,711.36,15.59,3.59
1/1/92,763.45,15.93,3.45
1/2/92,782.85,15.84,3.56
1/3/92,822.72,16.79,3.24
1/4/92,760.97,16.01,3.41
1/5/92,688.84,14.44,3.80
1/6/92,751.45,15.58,3.52
1/7/92,744.42,14.98,3.34
1/8/92,746.51,15.06,3.33
1/9/92,847.00,16.79,2.96
1/10/92,940.35,17.47,2.77
1/11/92,865.21,16.01,3.01
1/12/92,893.42,16.29,2.91
1/1/93,974.48,16.43,2.79
1/2/93,937.65,15.64,2.97
1/3/93,865.23,15.03,3.32
1/4/93,845.29,14.35,3.49
1/5/93,825.71,14.48,3.64
1/6/93,877.52,15.00,3.44
1/7/93,928.20,15.47,3.31
1/8/93,963.18,16.39,3.14
1/9/93,971.44,16.35,3.13
1/10/93,1260.91,20.29,2.53
1/11/93,1309.95,21.05,2.52
1/12/93,1682.85,26.09,2.01
1/1/94,1493.45,26.73,1.53
1/2/94,1372.93,23.33,1.87
1/3/94,1239.99,22.90,2.04
1/4/94,1266.67,23.46,2.00
1/5/94,1356.87,23.17,1.81
1/6/94,1273.34,21.82,1.92
1/7/94,1376.88,23.74,1.76
